Rxn name	Formula	Gene-reaction association	LB	UB	Objective
ACTS1	ACPact_c[c] + malcoa_c[c]  <=> coa_c[c] + malACPact_c[c] 	(SCO5089)	-1000.00	1000.00	  0.00
ACTS10	actint1ACPact_c[c] + nadph_c[c] + h_c[c]  -> actint2ACPact_c[c] + nadp_c[c] 	(SCO5086)	  0.00	1000.00	  0.00
ACTS11	actint2ACPact_c[c]  -> actint3ACPact_c[c] + 2 h2o_c[c] 	(SCO5090)	  0.00	1000.00	  0.00
ACTS12	actint3ACPact_c[c]  -> h2o_c[c] + actint4ACPact_c[c] 	(SCO5091)	  0.00	1000.00	  0.00
ACTS13	nadph_c[c] + h_c[c] + actint4ACPact_c[c]  -> nadp_c[c] + actint5ACPact_c[c] 	(SCO5072)	  0.00	1000.00	  0.00
ACTS14	actint5ACPact_c[c]  -> h2o_c[c] + dnpaACPact_c[c] 	((SCO5071) or (SCO5072) or (SCO5074))	  0.00	1000.00	  0.00
ACTS15	nadph_c[c] + h_c[c] + dnpaACPact_c[c]  -> nadp_c[c] + ddhkACPact_c[c] 	((SCO5023) or (SCO5075))	  0.00	1000.00	  0.00
ACTS16	ddhkACPact_c[c] + o2_c[c]  -> h2o_c[c] + dhkACPact_c[c] 	(((SCO5080) and (SCO5092)) or (SCO5081))	  0.00	1000.00	  0.00
ACTS17	h_c[c] + o2_c[c] + dhkACPact_c[c] + nadh_c[c]  -> h2o_c[c] + hdhkACPact_c[c] + nad_c[c] 	((SCO5080) and (SCO5092))	  0.00	1000.00	  0.00
ACTS18	h2o_c[c] + hdhkACPact_c[c]  -> ACPact_c[c] + h_c[c] + hdhk_c[c] 		  0.00	1000.00	  0.00
ACTS19	nad_c[c] + 2 hdhk_c[c]  -> h_c[c] + nadh_c[c] + ACT_c[c] 		  0.00	1000.00	  0.00
ACTS2	malACPact_c[c] + h_c[c] + accoa_c[c]  -> coa_c[c] + actACPact_c[c] + co2_c[c] 	((SCO5087) and (SCO5088))	  0.00	1000.00	  0.00
ACTS3	malcoa_c[c] + h_c[c] + actACPact_c[c]  -> coa_c[c] + co2_c[c] + pk6ACPact_c[c] 	((SCO5087) and (SCO5088))	  0.00	1000.00	  0.00
ACTS4	malcoa_c[c] + h_c[c] + pk6ACPact_c[c]  -> coa_c[c] + co2_c[c] + pk8ACPact_c[c] 	((SCO5087) and (SCO5088))	  0.00	1000.00	  0.00
ACTS5	malcoa_c[c] + h_c[c] + pk8ACPact_c[c]  -> coa_c[c] + co2_c[c] + pk10ACPact_c[c] 	((SCO5087) and (SCO5088))	  0.00	1000.00	  0.00
